congress_number,congress_start_year,position,last_name,first_name,middle_initial,nickname,suffix,birthday,birthplace,residence
6,1966,Senator,Liwag,Juan,R,,,6/12/1906,Nueva Ecija,Nueva Ecija
6,1966,Senator,Magsaysay,Genaro,F,,,9/19/1924,Zambales,Zambales
6,1966,Senator,Manahan,Manuel,P,,,1/1/1916,Manila,Manila
6,1966,Senator,Manglapus,Raul,S,,,10/20/1918,Rizal,Rizal
6,1966,Senator,Osias,Camilo,O,,,03/28/1889,La Union,La Union
6,1966,Senator,Osmena,Sergio,V,,Jr,12/4/1916,Cebu,Cebu
6,1966,Senator,Pelaez,Emmanuel,N,,,11/30/1915,Misamis Oriental,Misamis Oriental
6,1966,Senator,Perez,Leonardo,B,,,11/22/1925,Nueva Vizcaya,Nueva Vizcaya
6,1966,Senator,Puyat,Gil,J,,,9/1/1907,Manila,Manila
6,1966,Senator,Rodrigo,Francisco,A,Soc,,1/29/1914,Bulacan,Bulacan
6,1966,Senator,Roxas,Gerardo Manuel,M,Gerry,,8/25/1924,Manila,Manila
6,1966,Senator,Salonga,Jovito,R,Jovy,,6/22/1920,Pasig,Pasig
6,1966,Senator,Tanada,Lorenzo,M,Tanny,,08/10/1898,Quezon,Quezon
6,1966,Senator,Teves,Lorenzo,G,,,4/29/1918,Negros Oriental,Negros Oriental
6,1966,Senator,Ziga,Tecla,SA,,,8/23/1906,Camarines Sur,Camarines Sur
5,1962,Senator,Marcos,Ferdinand,E,Macoy,,9/11/1917,Ilocos Norte,Ilocos Norte
5,1962,Senator,Lopez,Fernando,H,,,4/13/1904,IloIlo,IloIlo
5,1962,Senator,Primicias,Cipriano,P,,Sr,9/14/1901,Pangasinan,Pangasinan
5,1962,Senator,Fernandez,Estanislao,A,,,3/28/1910,Laguna,Laguna
5,1962,Senator,Almendras,Alejandro,D,,,2/27/1919,Cebu,Cebu
5,1962,Senator,Antonino,Gaudencio,E,,,2/9/1909,Nueva Ecija,Nueva Ecija
5,1962,Senator,Balao,Eulogio,B,,,3/11/1907,Cagayan,Cagayan
5,1962,Senator,Cuenco,Mariano Jesus,L,,,01/16/1888,Cebu,Cebu
5,1962,Senator,De La Rosa,Rogelio,,,,11/12/1916,Pampanga,Pampanga
5,1962,Senator,Ganzon,Rodolfo,T,,,3/22/1922,Iloilo City,IloIlo City
5,1962,Senator,Kalaw-Katigbak,Maria,V,,,2/14/1912,Manila,Manila
5,1962,Senator,Ledesma,Oscar,,,,4/3/1902,,
5,1962,Senator,Lim,Roseller,T,,,2/9/1915,Zamboanga,Zamboanga
5,1962,Senator,Liwag,Juan,R,,,6/12/1906,Nueva Ecija,Nueva Ecija
5,1962,Senator,Magsaysay,Genaro,F,,,9/19/1924,Zambales,Zambales
5,1962,Senator,Manahan,Manuel,P,,,1/1/1916,Manila,Manila
5,1962,Senator,Manglapus,Raul,S,,,10/20/1918,Rizal,Rizal
5,1962,Senator,Osias,Camilo,O,,,03/28/1889,La Union,La Union
5,1962,Senator,Padilla,Ambrosio,B,Bibby,,12/7/1910,Manila,Manila
5,1962,Senator,Puyat,Gil,J,,,9/1/1907,Manila,Manila
5,1962,Senator,Rodrigo,Francisco,A,Soc,,1/29/1914,Bulacan,Bulacan
5,1962,Senator,Rodriguez,Eulogio,A,Amang,,01/21/1883,Rizal,Rizal
5,1962,Senator,Roy,Jose,J,,,7/19/1904,Tarlac,Tarlac
5,1962,Senator,Sumulong,Lorenzo,,,,9/5/1905,Rizal,Rizal
5,1962,Senator,Tanada,Lorenzo,M,Tanny,,08/10/1898,Quezon,Quezon
5,1962,Senator,Tolentino,Arturo,M,Turing,,9/19/1910,Manila,Manila
4,1958,Senator,Rodriguez,Eulogio,A,Amang,,01/21/1883,Rizal,Rizal
4,1958,Senator,Lopez,Fernando,H,,,4/13/1904,IloIlo,IloIlo
4,1958,Senator,Primicias,Cipriano,P,,Sr,9/14/1901,Pangasinan,Pangasinan
4,1958,Senator,Padilla,Ambrosio,B,Bibby,,12/7/1910,Manila,Manila
4,1958,Senator,Alonto,Domocao,A,Domie,,8/1/1914,Lanao,Lanao
4,1958,Senator,Balao,Eulogio,B,,,3/11/1907,Cagayan,Cagayan
4,1958,Senator,Cea,Edmundo,B,,,6/10/1911,Camarines Sur,Camarines Sur
4,1958,Senator,Cuenco,Mariano Jesus,L,,,01/16/1888,Cebu,Cebu
4,1958,Senator,De La Rosa,Rogelio,,,,11/12/1916,Pampanga,Pampanga
4,1958,Senator,Madrigal Gonzales,Patricia,P,,,5/4/1915,Manila,Manila
4,1958,Senator,Kangleon,Ruperto,C,,,03/27/1890,Leyte,Leyte
4,1958,Senator,Ledesma,Oscar,,,,4/3/1902,,
4,1958,Senator,Lim,Roseller,T,,,2/9/1915,Zamboanga,Zamboanga
4,1958,Senator,Mabanag,Alejo,R,,,07/04/1886,La Union,La Union
4,1958,Senator,Paredes,Quintin,B,,,09/09/1884,Abra,Abra
4,1958,Senator,Pelaez,Emmanuel,N,,,11/30/1915,Misamis Oriental,Misamis Oriental
4,1958,Senator,Puyat,Gil,J,,,9/1/1907,Manila,Manila
4,1958,Senator,Recto,Claro,M,,,02/08/1890,Quezon,Quezon
4,1958,Senator,Rodrigo,Francisco,A,Soc,,1/29/1914,Bulacan,Bulacan
4,1958,Senator,Rosales,Decoroso,R,,,12/20/1907,Samar,Samar
4,1958,Senator,Sabido,Pedro,R,,,10/19/1894,Albay,Albay
4,1958,Senator,Sumulong,Lorenzo,,,,9/5/1905,Rizal,Rizal
4,1958,Senator,Tanada,Lorenzo,M,Tanny,,08/10/1898,Quezon,Quezon
4,1958,Senator,Tolentino,Arturo,M,Turing,,9/19/1910,Manila,Manila
3,1954,Senator,Rodriguez,Eulogio,A,Amang,,01/21/1883,Rizal,Rizal
3,1954,Senator,Briones,Manuel,C,,,01/01/1893,Cebu,Cebu
3,1954,Senator,Primicias,Cipriano,P,,Sr,9/14/1901,Pangasinan,Pangasinan
3,1954,Senator,Alonto,Domocao,A,Domie,,8/1/1914,Lanao,Lanao
3,1954,Senator,Cabili,Tomas,L,,,3/7/1903,Lanao,Lanao
3,1954,Senator,Cea,Edmundo,B,,,6/10/1911,Camarines Sur,Camarines Sur
3,1954,Senator,Cuenco,Mariano Jesus,L,,,01/16/1888,Cebu,Cebu
3,1954,Senator,Delgado,Francisco,A,,,01/25/1886,Bulacan,Bulacan
3,1954,Senator,Kangleon,Ruperto,C,,,03/27/1890,Leyte,Leyte
3,1954,Senator,Laurel,Jose Paciano,P,,Sr,03/9/1891,Batangas,Batangas
3,1954,Senator,Ledesma,Oscar,,,,4/3/1902,,
3,1954,Senator,Lim,Roseller,T,,,2/9/1915,Zamboanga,Zamboanga
3,1954,Senator,Locsin,Jose,C,,,08/27/1891,Negros Oriental,Negros Oriental
3,1954,Senator,Lopez,Fernando,H,,,4/13/1904,IloIlo,IloIlo
3,1954,Senator,Mabanag,Alejo,R,,,07/04/1886,La Union,La Union
3,1954,Senator,Madrigal Gonzales,Patricia,P,,,5/4/1915,Manila,Manila
3,1954,Senator,Magalona,Enrique,B,,,11/5/1891,Negros Occidental,Negros Occidental
3,1954,Senator,Padilla,Ambrosio,B,Bibby,,12/7/1910,Manila,Manila
3,1954,Senator,Paredes,Quintin,B,,,09/09/1884,Abra,Abra
3,1954,Senator,Pelaez,Emmanuel,N,,,11/30/1915,Misamis Oriental,Misamis Oriental
3,1954,Senator,Peralta,Macario,,,Jr,7/30/1913,Pangasinan,Pangasinan
3,1954,Senator,Puyat,Gil,J,,,9/1/1907,Manila,Manila
3,1954,Senator,Recto,Claro,M,,,02/08/1890,Quezon,Quezon
3,1954,Senator,Rodrigo,Francisco,A,Soc,,1/29/1914,Bulacan,Bulacan
3,1954,Senator,Rosales,Decoroso,R,,,12/20/1907,Samar,Samar
3,1954,Senator,Sabido,Pedro,R,,,10/19/1894,Albay,Albay
3,1954,Senator,Sumulong,Lorenzo,,,,9/5/1905,Rizal,Rizal
3,1954,Senator,Tanada,Lorenzo,M,Tanny,,08/10/1898,Quezon,Quezon
3,1954,Senator,Zulueta,Jose,C,,,11/23/1876,Manila,Manila
2,1950,Senator,Cuenco,Mariano Jesus,L,,,01/16/1888,Cebu,Cebu
2,1950,Senator,Paredes,Quintin,B,,,09/09/1884,Abra,Abra
2,1950,Senator,Cabili,Tomas,L,,,3/7/1903,Lanao,Lanao
2,1950,Senator,Garcia,Carlos,P,,,11/4/1896,Bohol,Bohol
2,1950,Senator,Abada,Esteban,R,,,03/15/1896,Negros Occidental,Negros Occidental
2,1950,Senator,Arranz,Melecio,,,,05/24/1888,Ilocos Sur,Ilocos Sur
2,1950,Senator,Avelino,Jose,,,,08/05/1890,Samar,Samar
2,1950,Senator,Briones,Manuel,C,,,01/01/1893,Cebu,Cebu
2,1950,Senator,Confesor,Tomas,,,,03/02/1891,Iloilo,Iloilo
2,1950,Senator,David,Pablo,A,,,08/17/1889,Pampanga,Pampanga
2,1950,Senator,Delgado,Francisco,A,,,01/25/1886,Bulacan,Bulacan
2,1950,Senator,Laurel,Jose Paciano,P,,Sr,03/9/1891,Batangas,Batangas
2,1950,Senator,Locsin,Jose,C,,,08/27/1891,Negros Oriental,Negros Oriental
2,1950,Senator,Madrigal,Vicente,P,,,04/05/1880,Albay,Albay
2,1950,Senator,Magalona,Enrique,B,,,11/5/1891,Negros Occidental,Negros Occidental
2,1950,Senator,Montano,Justiniano,S,,,9/5/1905,Cavite,Cavite
2,1950,Senator,Osias,Camilo,O,,,03/28/1889,La Union,La Union
2,1950,Senator,Pecson,Geronima,T,,,12/19/1896,Pangasinan,Pangasinan
2,1950,Senator,Peralta,Macario,,,Jr,7/30/1913,Pangasinan,Pangasinan
2,1950,Senator,Primicias,Cipriano,P,,Sr,9/14/1901,Pangasinan,Pangasinan
2,1950,Senator,Puyat,Gil,J,,,9/1/1907,Manila,Manila
2,1950,Senator,Recto,Claro,M,,,02/08/1890,Quezon,Quezon
2,1950,Senator,Rodriguez,Eulogio,A,Amang,,01/21/1883,Rizal,Rizal
2,1950,Senator,Sotto,Vicente,Y,,,04/18/1877,Cebu,Cebu
2,1950,Senator,Sumulong,Lorenzo,,,,9/5/1905,Rizal,Rizal
2,1950,Senator,Tanada,Lorenzo,M,Tanny,,08/10/1898,Quezon,Quezon
2,1950,Senator,Tirona,Emiliano,T,,,06/12/1882,Cavite,Cavite
2,1950,Senator,Torres,Ramon,A,,,06/12/1891,Negros Occidental,Negros Occidental
2,1950,Senator,Zulueta,Jose,C,,,11/23/1876,Manila,Manila
1,1946,Senator,Avelino,Jose,D,,,08/05/1890,Samar,Samar
1,1946,Senator,Arranz,Melecio,,,,05/24/1888,Ilocos Sur,Ilocos Sur
1,1946,Senator,Francisco ,Vicente,,,,07/19/1891,Cavite,Cavite
1,1946,Senator,Garcia,Carlos,P,,,11/4/1896,Bohol,Bohol
1,1946,Senator,Buendia,Nicolas,,,,03/12/1879,Bulacan,Bulacan
1,1946,Senator,Cabili,Tomas,L,,,3/7/1903,Lanao,Lanao
1,1946,Senator,Clarin,Olegario,B,,,03/06/1892,Bohol,Bohol
1,1946,Senator,Confesor,Tomas,,,,03/02/1891,Iloilo,Iloilo
1,1946,Senator,Cuenco,Mariano Jesus,L,,,01/16/1888,Cebu,Cebu
1,1946,Senator,David,Pablo,A,,,08/17/1889,Pampanga,Pampanga
1,1946,Senator,Diokno,Ramon,M,,,03/28/1886,Batangas,Batangas
1,1946,Senator,Henaez,Pedro,C,,,12/12/1899,Negros Occidental,Negros Occidental
1,1946,Senator,Imperial,Domingo,,,,08/04/1890,Albay,Albay
1,1946,Senator,Lopez,Fernando,,,,4/13/1904,Iloilo,Iloilo
1,1946,Senator,Mabanag,Alejo,,,,07/04/1886,La Union,La Union
1,1946,Senator,Magalona,Enrique,B,,,11/5/1891,Negros Occidental,Negros Occidental
1,1946,Senator,Osias,Camilo,O,,,03/28/1889,La Union,La Union
1,1946,Senator,Pecson,Geronima,T,,,12/19/1896,Pangasinan,Pangasinan
1,1946,Senator,Pendatun,Salipada,K,,,12/3/1912,Maguindanao,Maguindanao
1,1946,Senator,Rama,Vicente,,,,06/06/1887,Cebu,Cebu
1,1946,Senator,De La Rama,Esteban,,,,12/26/1866,Iloilo,Iloilo
1,1946,Senator,Rodriguez,Eulogio,A,Amang,,01/21/1883,Rizal,Rizal
1,1946,Senator,Romero,Jose,E,,,03/03/1897,Negros Oriental,Negros Oriental
1,1946,Senator,Sanidad,Prospero,,,,01/17/1897,Ilocos Sur,Ilocos Sur
1,1946,Senator,Alonto,Alauya,,,,1898,Lanao,Lanao
1,1946,Senator,Sebastian,Proceso,,,,1892,,
1,1946,Senator,Sotto,Vicente,Y,,,04/18/1877,Cebu,Cebu
1,1946,Senator,Tan,Carlos,,,,11/04/1893,Leyte,Leyte
1,1946,Senator,Tanada,Lorenzo,M,Tanny,,08/10/1898,Quezon,Quezon
1,1946,Senator,Tirona,Emiliano,T,,,06/12/1882,Cavite,Cavite
1,1946,Senator,Torres,Ramon,A,,,06/12/1891,Negros Occidental,Negros Occidental
1,1946,Senator,Vera,Jose,O,,,1888,,
